web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,name,adresse,creation,type,codepostal
"1641920232-155","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","VHM SAS - 830850566 / 00019","https://www.infogreffe.fr/entreprise-societe/830850566-vhm-sas-140217B008550000.html","VHM SAS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                60 RUE DE L'ORMELET 
                                                
                                                    
                                                        14790 MOUEN
                                                        
                                                            Voir le plan","Immatriculée le 12/07/2017.","Société par actions simplifiée","14790 MOUEN
                                                        
                                                            Voir le plan"
"1641919944-79","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","DROPWEB - 878994136 / 00017","https://www.infogreffe.fr/entreprise-societe/878994136-dropweb-140219B014940000.html","DROPWEB
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                3 PLACE JEAN NOUZILLE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 18/11/2019.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920003-96","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AS CREATION - 504859331 / 00010","https://www.infogreffe.fr/entreprise-societe/504859331-as-creation-140708B401600000.html","AS CREATION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                10 RUE DE PARIS 
                                                
                                                    
                                                        14910 BLONVILLE-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 24/06/2008.","Société à responsabilité limitée","14910 BLONVILLE-SUR-MER
                                                        
                                                            Voir le plan"
"1641919960-84","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OPENA - 884094723 / 00027","https://www.infogreffe.fr/entreprise-societe/884094723-opena-140220B006950000.html","OPENA
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                HAMEAU DE CREULLET CREULLY
                                                
                                                    
                                                        14480 CREULLY SUR SEULLES
                                                        
                                                            Voir le plan","Immatriculée le 10/06/2020.","Société à responsabilité limitée à associé unique","14480 CREULLY SUR SEULLES
                                                        
                                                            Voir le plan"
"1641920408-201","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","EQUILIBRE - 838104107 / 00035","https://www.infogreffe.fr/entreprise-societe/838104107-equilibre-140221B012730000.html","EQUILIBRE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                C/O GROUPE NAPOLY 17 RUE KARL PROBST 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 04/08/2021.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920038-105","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","BioDeploy - 752997155 / 00029","https://www.infogreffe.fr/entreprise-societe/752997155-biodeploy-140212B008030000.html","BioDeploy
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                77 RUE BRANVILLE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 30/07/2012.","Société à responsabilité limitée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920148-134","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TURTLE AND GREY BEAR - 800065377 / 00031","https://www.infogreffe.fr/entreprise-societe/800065377-turtle-and-grey-bear-140721B006520000.html","TURTLE AND GREY BEAR
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                175 CHEMIN DE LA FERME L'ABBÉ 
                                                
                                                    
                                                        14130 SAINT-HYMER
                                                        
                                                            Voir le plan","Immatriculée le 16/11/2021.","Société par actions simplifiée","14130 SAINT-HYMER
                                                        
                                                            Voir le plan"
"1641919707-15","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SAMM - 418417028 / 00069","https://www.infogreffe.fr/entreprise-societe/418417028-samm-140798B400660000.html","SAMM
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                4 RUE LUCIE DELARUE-MARDRUS 
                                                
                                                    
                                                        14600 HONFLEUR
                                                        
                                                            Voir le plan","Immatriculée le 21/04/1998.","Société par actions simplifiée à associé unique","14600 HONFLEUR
                                                        
                                                            Voir le plan"
"1641919867-58","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","LEXOVI@ COM - 489545293 / 00016","https://www.infogreffe.fr/entreprise-societe/489545293-lexovi-com-140706B000510000.html","LEXOVI@ COM
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                6 LOTISSEMENT DES PETITES CHAUSSÉES SAINT-JULIEN LE FAUCON
                                                
                                                    
                                                        14140 MEZIDON VALLEE D'AUGE
                                                        
                                                            Voir le plan","Immatriculée le 13/04/2006.","Société à responsabilité limitée à associé unique","14140 MEZIDON VALLEE D'AUGE
                                                        
                                                            Voir le plan"
"1641920177-142","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TWELVE SOLUTIONS - 799781604 / 00027","https://www.infogreffe.fr/entreprise-societe/799781604-twelve-solutions-140214B000850000.html","TWELVE SOLUTIONS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                149 RUE DE LA DÉLIVRANDE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 22/01/2014.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919721-19","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","WEB-BY-WORK - 892232463 / 00018","https://www.infogreffe.fr/entreprise-societe/892232463-web-by-work-140220B017160000.html","WEB-BY-WORK
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ZONE D'ACTIVITÉS DE LA HOGUE RUE DE LA PLAINE 
                                                
                                                    
                                                        14970 BÉNOUVILLE
                                                        
                                                            Voir le plan","Immatriculée le 21/12/2020.","Société par actions simplifiée à associé unique","14970 BÉNOUVILLE
                                                        
                                                            Voir le plan"
"1641919894-66","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CHAINBREAK - 900200445 / 00014","https://www.infogreffe.fr/entreprise-societe/900200445-chainbreak-140221B009320000.html","CHAINBREAK
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                14 RUE DE STRASBOURG 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 10/06/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920382-194","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","CLOUDSPREADER - 805152527 / 00026","https://www.infogreffe.fr/entreprise-societe/805152527-cloudspreader-140214B010060000.html","CLOUDSPREADER
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                1 RUE HENRI SPRIET 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 13/10/2014.","Société par actions simplifiée","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641920348-186","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","INFO-GESTION - 316675446 / 00033","https://www.infogreffe.fr/entreprise-societe/316675446-info-gestion-140279B001370000.html","INFO-GESTION
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                26 AVENUE DE THIÈS, PÉRICENTRE III 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 03/08/1979.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920281-168","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TIVANO - 819032533 / 00013","https://www.infogreffe.fr/entreprise-societe/819032533-tivano-140216B003070000.html","TIVANO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                TECHNOPOLE CITIS 26 AVENUE DE GARBSEN 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 14/03/2016.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641920068-113","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","FIZZER - 802897801 / 00030","https://www.infogreffe.fr/entreprise-societe/802897801-fizzer-140717B001310000.html","FIZZER
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                15 RUE EDOUARD HERRIOT 
                                                
                                                    
                                                        14160 DIVES-SUR-MER
                                                        
                                                            Voir le plan","Immatriculée le 27/03/2017.","Société par actions simplifiée","14160 DIVES-SUR-MER
                                                        
                                                            Voir le plan"
"1641920106-123","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Pristi BIM - 900616228 / 00012","https://www.infogreffe.fr/entreprise-societe/900616228-pristi-bim-140221B010090000.html","Pristi BIM
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                PLUG N'WORK 2 RUE JEAN PERRIN 
                                                
                                                    
                                                        14460 COLOMBELLES
                                                        
                                                            Voir le plan","Immatriculée le 21/06/2021.","Société par actions simplifiée","14460 COLOMBELLES
                                                        
                                                            Voir le plan"
"1641920375-192","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","MIWEO - 814260311 / 00034","https://www.infogreffe.fr/entreprise-societe/814260311-miweo-140215B012180000.html","MIWEO
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                PARC D'ACTIVITÉS DE LA FOLIE COUVRECHEF 3 RUE KARL PROBST 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 26/10/2015.","Société à responsabilité limitée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920274-166","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SOCIETE INCOM CONTRACTION DE ""INFORMATIQUE ET COMMUNICATION"" - 349503151 / 00046","https://www.infogreffe.fr/entreprise-societe/349503151-societe-incom-contraction-de-informatique-et-communication--140289B001020000.html","SOCIETE INCOM CONTRACTION DE ""INFORMATIQUE ET COMMUNICATION""
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                RÉSIDENCE DU 7ÈME ART 53 RUE DE STRASBOURG 
                                                
                                                    
                                                        14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan","Immatriculée le 01/03/1989.","Société par actions simplifiée","14200 HÉROUVILLE-SAINT-CLAIR
                                                        
                                                            Voir le plan"
"1641919898-67","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","MyNftLab - 899376842 / 00014","https://www.infogreffe.fr/entreprise-societe/899376842-mynftlab-140221B008040000.html","MyNftLab
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE DE BERNIERES 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 17/05/2021.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919777-35","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","IGEOS - 798607115 / 00010","https://www.infogreffe.fr/entreprise-societe/798607115-igeos-140213B011370000.html","IGEOS
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                ZONE D'ACTIVITÉ HENRI SPRIET 9 RUE CHARLES TELLIER 
                                                
                                                    
                                                        14120 MONDEVILLE
                                                        
                                                            Voir le plan","Immatriculée le 21/11/2013.","Société à responsabilité limitée","14120 MONDEVILLE
                                                        
                                                            Voir le plan"
"1641920019-100","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","INVICTI - 807775200 / 00015","https://www.infogreffe.fr/entreprise-societe/807775200-invicti-140214B011270000.html","INVICTI
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                210 RUE DE L'AVENIR 
                                                
                                                    
                                                        14790 VERSON
                                                        
                                                            Voir le plan","Immatriculée le 14/11/2014.","Société par actions simplifiée","14790 VERSON
                                                        
                                                            Voir le plan"
"1641919717-18","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Mon Assistant Virtuel - 905385142 / 00013","https://www.infogreffe.fr/entreprise-societe/905385142-mon-assistant-virtuel-140221B018320000.html","Mon Assistant Virtuel
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                9 AVENUE DU 43ÈME RÉGIMENT D'ARTILLERIE 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 22/11/2021.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920241-157","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","OSI Santé FRANCE - 840329452 / 00022","https://www.infogreffe.fr/entreprise-societe/840329452-osi-sant-france-140218B006680000.html","OSI Santé FRANCE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                8 RUE DES COMPAGNONS 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 13/06/2018.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920012-98","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","E-BOO SYSTEMES - 828190637 / 00011","https://www.infogreffe.fr/entreprise-societe/828190637-e-boo-systemes-140217B003220000.html","E-BOO SYSTEMES
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                RÉSIDENCE COURS BEAULIEU 55 BOULEVARD GEORGES-POMPIDOU 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 08/03/2017.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641919822-46","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","Pixx - 513424150 / 00011","https://www.infogreffe.fr/entreprise-societe/513424150-pixx-140209B005730000.html","Pixx
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                5 RUE DES HORTENSIAS 
                                                
                                                    
                                                        14123 IFS
                                                        
                                                            Voir le plan","Immatriculée le 01/07/2009.","Société à responsabilité limitée","14123 IFS
                                                        
                                                            Voir le plan"
"1641919682-9","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","SeeUSoon Digital - 881293443 / 00019","https://www.infogreffe.fr/entreprise-societe/881293443-seeusoon-digital-140220B001830000.html","SeeUSoon Digital
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                11 RUE SAINT-LAURENT 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 05/02/2020.","Société par actions simplifiée à associé unique","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920174-141","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","INSID SOFTWARE - 805216744 / 00021","https://www.infogreffe.fr/entreprise-societe/805216744-insid-software-140214B010230000.html","INSID SOFTWARE
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                29 RUE JEAN LOUIS CARTIGNY 
                                                
                                                    
                                                        14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan","Immatriculée le 17/10/2014.","Société par actions simplifiée à associé unique","14760 BRETTEVILLE-SUR-ODON
                                                        
                                                            Voir le plan"
"1641920222-152","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","AMBLING - 830763769 / 00015","https://www.infogreffe.fr/entreprise-societe/830763769-ambling-140217B008440000.html","AMBLING
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                17 RUE CLAUDE BOCH 
                                                
                                                    
                                                        14000 CAEN
                                                        
                                                            Voir le plan","Immatriculée le 10/07/2017.","Société par actions simplifiée","14000 CAEN
                                                        
                                                            Voir le plan"
"1641920155-136","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","TOMBOLAPP - 843686189 / 00013","https://www.infogreffe.fr/entreprise-societe/843686189-tombolapp-140718B004610000.html","TOMBOLAPP
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                279 RUE DE LA LIBÉRATION 
                                                
                                                    
                                                        14100 SAINT-DÉSIR
                                                        
                                                            Voir le plan","Immatriculée le 08/11/2018.","Société par actions simplifiée","14100 SAINT-DÉSIR
                                                        
                                                            Voir le plan"
"1641919830-48","https://www.infogreffe.fr/entreprises-departement/calvados-6201Z-014-1.html","VRAG - 835319542 / 00014","https://www.infogreffe.fr/entreprise-societe/835319542-vrag-140218B001880000.html","VRAG
            Partager le lien vers cette fiche entreprise","Siège social
                                                

                                                210 RUE DE L'AVENIR 
                                                
                                                    
                                                        14790 VERSON
                                                        
                                                            Voir le plan","Immatriculée le 12/02/2018.","Société par actions simplifiée","14790 VERSON
                                                        
                                                            Voir le plan"
