CP;INSEE;Nom min;Nom Maj
14600;14001;Ablon;ABLON
14400;14003;Agy;AGY
14370;14005;Valambray;VALAMBRAY
14540;14005;Valambray;VALAMBRAY
14190;14005;Valambray;VALAMBRAY
14210;14006;Amayé-sur-Orne;AMAYE-SUR-ORNE
14310;14007;Amayé-sur-Seulles;AMAYE SUR SEULLES
14860;14009;Amfreville;AMFREVILLE
14240;14011;Aurseulles;AURSEULLES
14250;14011;Aurseulles;AURSEULLES
14430;14012;Angerville;ANGERVILLE
14610;14014;Colomby-Anguerny;COLOMBY-ANGUERNY
14610;14015;Anisy;ANISY
14430;14016;Annebault;ANNEBAULT
14400;14019;Arganchy;ARGANCHY
14370;14020;Argences;ARGENCES
14117;14021;Arromanches-les-Bains;ARROMANCHES-LES-BAINS
14960;14022;Asnelles;ASNELLES
14710;14023;Asnières-en-Bessin;ASNIERES-EN-BESSIN
14640;14024;Auberville;AUBERVILLE
14700;14025;Aubigny;AUBIGNY
14250;14026;Audrieu;AUDRIEU
14260;14027;Les Monts d'Aunay;LES MONTS D'AUNAY
14770;14027;Les Monts d'Aunay;LES MONTS D'AUNAY
14280;14030;Authie;AUTHIE
14130;14032;Les Authieux-sur-Calonne;AUTHIEUX-SUR-CALONNE (LES)
14340;14033;Auvillars;AUVILLARS
14210;14034;Avenay;AVENAY
14490;14035;Balleroy-sur-Drôme;BALLEROY-SUR-DROME
14940;14036;Banneville-la-Campagne;BANNEVILLE-LA-CAMPAGNE
14260;14037;Malherbe-sur-Ajon;MALHERBE-SUR-AJON
14480;14038;Banville;BANVILLE
14220;14039;Barbery;BARBERY
14400;14040;Barbeville;BARBEVILLE
14600;14041;Barneville-la-Bertran;BARNEVILLE-LA-BERTRAN
14210;14042;Baron-sur-Odon;BARON-SUR-ODON
14620;14043;Barou-en-Auge;BAROU-EN-AUGE
14610;14044;Basly;BASLY
14670;14045;Basseneville;BASSENEVILLE
14860;14046;Bavent;BAVENT
14400;14047;Bayeux;BAYEUX
14480;14049;Bazenville;BAZENVILLE
14490;14050;La Bazoque;LA BAZOQUE
14620;14053;Beaumais;BEAUMAIS
14380;14054;Beaumesnil;BEAUMESNIL
14950;14055;Beaumont-en-Auge;BEAUMONT-EN-AUGE
14370;14057;Bellengreville;BELLENGREVILLE
14910;14059;Benerville-sur-Mer;BENERVILLE-SUR-MER
14970;14060;Bénouville;BENOUVILLE
14350;14061;Souleuvre en Bocage;SOULEUVRE EN BOCAGE
14260;14061;Souleuvre en Bocage;SOULEUVRE EN BOCAGE
14440;14062;Bény-sur-Mer;BENY-SUR-MER
14710;14063;Bernesq;BERNESQ
14170;14064;Bernières-d'Ailly;BERNIERES-D AILLY
14990;14066;Bernières-sur-Mer;BERNIERES-SUR-MER
14112;14068;Biéville-Beuville;BIEVILLE BEUVILLE
14100;14069;Beuvillers;BEUVILLERS
14430;14070;Beuvron-en-Auge;BEUVRON-EN AUGE
14550;14076;Blainville-sur-Orne;BLAINVILLE-SUR-ORNE
