web-scraper-order,web-scraper-start-url,title,iogo-src,link,resume
"1641968953-11","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","CHERCHEMONNID.COM","userfiles/contact/contact_81/photos/ChercheMonNidRVB-02-2-300x225.png?width=180","https://www.cherchemonnid.com/","Nous permettons aux personnes en recherche d’un bien immobilier (achat ou location) de pouvoir contacter TOUS les professionnels d’un secteur géographique (ville, quartier, rue) en une seule démarche afin de recevoir des propositions SUR MESURE et de couvrir l’intégralité du marché. Et aux professionnels de pouvoir recevoir toutes les recherches de son secteur et d’y répondre."
"1641968953-20","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","E-COMMERCE NATION","userfiles/contact/contact_84/photos/Avatar_ECN.png?width=180","https://www.ecommerce-nation.fr/","Bienvenue au sein de la 1ère communauté e-commerce en France ! Retrouvez sur notre blog e-commerce conseils, guides, infographies, vidéos, webinaires."
"1641968953-16","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DEJAMOBILE","userfiles/contact/contact_83/photos/t__l__chargement__1_.png?width=180","https://www.dejamobile.fr/","Dejamobile est une Fintech spécialisée dans les services transactionnels mobiles pour le paiement, le transport et le commerce."
"1641968953-12","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","CONSCIENCE ROBOTICS","userfiles/contact/contact_118/photos/Conscience_Logos-03-284x300.png?width=180","https://www.conscience-robotics.com/","Conscience Robotics propose un système clé-en-main s’installant facilement sur tout type de robots: humanoïdes, volants ou à roues. Ce système intègre une Intelligence Artificielle unique permettant aux robots d’être autonomes et d’utiliser automatiquement tout le potentiel de leurs capacités physiques. Le robot développe et améliore continuellement ses propres solutions : se déplacer, activer un interrupteur, ouvrir une porte, fermer une fenêtre, apporter un objet…"
"1641968953-32","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","LIMMAO","userfiles/contact/contact_135/photos/limmao.png?width=180","https://www.limmao.fr/","La garantie d’accéder à l’ensemble des offres du marché, anonymement, rapidement, gratuitement et aux meilleurs prix. Limmao se fait le porte voix de votre recherche auprès des promoteurs immobiliers et vous conseille sur l'offre à retenir."
"1641968953-56","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","UNITED BIOMETRIC","userfiles/contact/contact_200/photos/logo_unitedbiometrics.png?width=180","https://unitedbiometrics.com/","United Biometrics est une jeune entreprise innovante qui propose une plateforme d’authentification multi biométrique pour la sécurisation des transactions financières et des applications informatiques vitales."
"1641968953-34","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","LOOP DEE SCIENCE","userfiles/contact/contact_166/photos/logo_loopdeescience.png?width=180","http://www.loopdeescience.com/",""
"1641968953-8","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","Bliwe","userfiles/contact/contact_171/photos/bliwe.png?width=180","http://www.bliwe.com","BLIWE répond aux besoins croissants des clients/visiteurs : « se connecter sur Internet depuis les lieux publics ». La taille des écrans des smartphone n’est pas adapté à tous les services connectés. Bliwe propose des surfaces tactiles de très grandes tailles afin de proposer un nouveau type d’expérience digitale. Leur murs tactiles, directement connecté sur le Cloud (synchronisation en temps réel), sont destinés aux espaces publics."
"1641968953-42","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","OPHTIMALIA","userfiles/contact/contact_97/photos/t__l__chargement__3_.png?width=180","http://www.ophtimalia-medical.fr/?lang=fr","Ophtimalia startup spécialisée dans le développement de dispositifs médicaux électroniques dédiés à l’ophtalmologie ."
"1641968953-61","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","WOMBEE","userfiles/contact/contact_110/photos/t__l__chargement__4_.jpg?width=180","https://www.wombee.com/","Wombee, application géolocalisée pour rencontrer du monde. Wombee vous permet de découvrir instantanément qui se trouve autour de vous !"
"1641968953-22","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","ERGOMEUBLE","userfiles/contact/contact_113/photos/cropped-Logo-Ergo-3-512-p.png?width=180","https://ergomeuble.com/","Ce rangement ergonomique amène à la hauteur de son utilisateur le tiroir auquel il souhaite accéder."
"1641968953-2","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","/E/","userfiles/contact/contact_116/photos/logo-noir_Plan-de-travail-1.png?width=180","https://e.foundation/","Système d'exploitation mobile open source."
"1641968953-44","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","Qwarry","userfiles/contact/contact_173/photos/qwarry.png?width=180","https://qwarry.com/fr/","Qwarry propose la 1ère technologie d’analyse et de ciblage publicitaire sémantique qui ne collecte ni cookie ni data utilisateur. Ils révolutionnent l’analyse et le ciblage publicitaire en ne récoltant aucune données privées, ils s'intéressent seulement au contenu des pages visitées."
"1641968953-43","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","PRODEO","userfiles/contact/contact_126/photos/Prodeo.png?width=180","http://www.prod-eo.com/","PRODEO offre agilité et réactivité en assistant l’industriel dans l’analyse de ses besoins et en l’accompagnant dans la mise en oeuvre de solutions technologiques innovantes, co-construites et rapidement déployables. PRODEO a pour ambition d’être un vecteur majeur de compétitivité et de s’inscrire dans l’élévation des territoires."
"1641968953-36","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","MOHO","userfiles/contact/contact_92/photos/t__l__chargement__1_.jpg?width=180","http://www.moho.co","Located in the heart of Normandy, the MoHo Collider will be a 7.500 m2 acceleration space where researchers, students, companies, startups and citizens from all over the world will work together to develop concrete solutions and foster innovation."
"1641968953-60","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","WEKTOO","userfiles/contact/contact_109/photos/t__l__chargement__6_.png?width=180","https://www.wektoo.com/","La solution WEKTOO permet aux acteurs de la grande distribution de mieux gérer au quotidien leurs produits arrivant à date de péremption. Grâce au couplage d’un logiciel sur PC et d’une application sur terminal portable, les collaborateurs visualisent quotidiennement et en un clin d’œil la liste pertinente des produits à vérifier. Un outil malin pour gagner en productivité et limiter les pertes."
"1641968953-29","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","KANTA","userfiles/contact/contact_185/photos/KANTA.jpg?width=180","https://kanta.fr/","Kanta est une solution web destinée aux experts-comptables. Cette solution permet d'acommpagner les experts-comptables dans leurs obligations en matière de lutte anti-blanchiment (LAB)."
"1641968953-30","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","LE CARTEL","userfiles/contact/contact_120/photos/cicYSDLF_400x400.png?width=180","https://lecartel.red/","La volonté d’un ADN collectif pour une aventure unique a fait naître Le Cartel, le réseau d’entreprises du digital Normand, qui propose à la fois l’accompagnement humain et les technologies indispensables pour s’adapter à notre monde en pleine transition."
"1641968953-28","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","ITEKUBE","userfiles/contact/contact_87/photos/t__l__chargement__2_.png?width=180","www.itekube.com/fr","Interfaces tactiles hautes performances !"
"1641968953-19","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","CityKomi","userfiles/contact/contact_219/photos/CityKomi-Logo-CMJN-Final.jpg?width=180","null","CITYKOMI® - LE BOUCHE À OREILLE NUMÉRIQUE"
"1641968953-50","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","SOYHUCE","userfiles/contact/contact_102/photos/logo-soyhuce-web-couleur.png?width=180","https://soyhuce.fr/","SOYHUCE, tech studio de nouvelle génération, abrite un studio de R&D en algorithmie et data, une agence d’édition de logiciels et de conseil avec une forte expertise en UX Design. Nous accompagnons les entreprises, industries et collectivités dans leurs problématiques globales liées aux enjeux du numérique et de leur transformation digitale."
"1641968953-17","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DEMAND SIDE INSTRUMENTS","userfiles/contact/contact_122/photos/RK8U0oKN_400x400.png?width=180","https://www.dsinstruments.fr/","DEMAND SIDE INSTRUMENTS propose une innovation de service Machine-to-Machine (M2M) permettant la création rapide d’objets connectés dédiés à la préservation des ressources naturelles et à la gestion de l’énergie. Les innovations technologiques mises en œuvre permettent de transformer des actionneurs existants en objets « intelligents » et de les connecter en réutilisant le réseau FM."
"1641968953-54","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","TEKUUP","userfiles/contact/contact_106/photos/t__l__chargement__3_.jpg?width=180","https://www.tekuup.com/","We are here to Guide Your High Tech activities up during critical steps of their development, strengthening Your Innovation with years of experience in Business Development"
"1641968953-37","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","MOMENT TECH","userfiles/contact/contact_93/photos/mmtt-logo.png?width=180","https://mmtt.fr/","La société MomentTech, acteur expert de la révolution numérique des Télécommunications, contribue aujourd’hui à la transformation numérique des Métiers. Cette jeune startup caennaise met au point deux solutions logicielles."
"1641968953-10","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","CAHEM","userfiles/contact/contact_80/photos/Cahem_LogoOffi_NomComplet_CMJN.jpg?width=180","https://www.cahem.eu/","Cahem, Parc de réalité virtuelle thématisé"
"1641968953-27","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","IDETHIC","userfiles/contact/contact_199/photos/Logo_idethic.jpg?width=180","https://www.idethic.com/","Une nouvelle conception de l'identité numérique à découvrir prochainement."
"1641968953-9","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","BODYCAP MEDICAL","userfiles/contact/contact_79/photos/logo-en__1_.jpg?width=180","http://www.bodycap-medical.com/fr/","Bodycap développe des solutions innovantes, favorisant les nouveaux usages et se place au service des acteurs du monde de la santé et du bien-être."
"1641968953-58","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","VRV PROD","userfiles/contact/contact_108/photos/VRV-Prod.png?width=180","https://vrvprod.fr/","VRV Prod est une Agence de Production de Vidéos à 360°, diffusion de vidéos 360° en live, recherche et développement d’innovations dans le domaine de la réalité virtuelle, visites virtuelles à 360° immersives grâce à leurs diffusions dans les casques de réalité virtuelle."
"1641968953-39","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","NEURALLYS","userfiles/contact/contact_95/photos/0.png?width=180","http://www.neurallys.com/","Neurallys développe un dispositif médical mini invasif communicant qui permettra aux patients de s’autodiagnostiquer en cas de symptômes (migraines, nausées…) pouvant laisser penser à un potentiel dysfonctionnement de la dérivation (DVP) ou tout autre problème de pression intracrânienne (surdrainage…)"
"1641968953-53","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","SUPPLYWEB","userfiles/contact/contact_105/photos/gt1lOYte_400x400.png?width=180","www.supplyweb.fr/","La plateforme logistique e-commerce Supplyweb permet d'externaliser votre logistique sereinement. Vous disposerez d'une solution logistique transparente."
"1641968953-25","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","FORLABS","userfiles/contact/contact_137/photos/forlabs.png?width=180","https://forlabs.fr/","Agence de conseil et de réalisation dans le développement Web, avec qui vous transformerez vos idées en réalité fonctionnelle et ce tout en agilité !"
"1641968953-1","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","AXEOS","userfiles/contact/contact_212/photos/AXEOS_LOGO_-_FOND_BLANC.jpg?width=180","https://www.axeos.net/","AXEOS a pour ambition d'accroitre la valeur des espaces de ses clients."
"1641968953-59","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","WEBBEL","userfiles/contact/contact_133/photos/webbel.png?width=180","https://webbel-entreprise.com/","Agence de gestion de contenu et optimisation de référencement naturel."
"1641968953-5","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","ACTIVITOUR","userfiles/contact/contact_77/photos/activitour2.png?width=180","https://www.activitour.fr/","Applications et services touristiques à destination des Hôteliers & hébergeurs, prestataires d'activités et offices de tourisme."
"1641968953-14","https://www.frenchtechcaen.com/fr/annuaire-des-startups/","DATEXIM","userfiles/contact/contact_134/photos/datexim.png?width=180","https://www.datexim.com/fr/","Datexim est spécialisée dans les solutions de télépathologie et d’aide au diagnostic en cytologie, notamment dans le dépistage du cancer du col de l’utérus, basées sur l’intelligence artificielle."
