web-scraper-order,web-scraper-start-url,orga-link,orga-link-href,title,logo,description,adresse,site,contact-name,contact-email
"1641921937-213","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","OXIPRO                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/oxipro/","OXIPRO","background-image:url(https://www.normandigital.fr/wp-content/uploads/OXIPRO.jpg);","Déléguez votre système informatique pour vous concentrer sur l’essentiel !
Vous représentez une entreprise, une association ou une collectivité territoriale de toute taille ?
Vous n’avez pas le temps de vous occuper de votre informatique et de sa sécurité ?
Un Responsable Informatique à temps partagé est la solution idéale pour les petites et moyennes entreprises qui souhaitent disposer d’une ressource expérimentée pour les aider à construire une informatique performante
 
Contactez-nous et analysons ensemble vos besoins.
Forts de plus de 20 ans d’expérience dans le domaine informatique,  nous ferons un plaisir de vous aider, en tant que responsable informatique à temps partagé.
 
Nous vous proposons également, selon vos besoins, un audit ou des conseils. Le tout, dans le but de faire évoluer votre système d’information dans les conditions les plus optimales.

		
	

	
		
			OXIPRO

8, avenue du Président Georges Pompidou

27500 PONT AUDEMER

Tel : 02.77.27.20.27
site :http://www.oxipro.fr/
Stéphane VINOT

Email : stvinot@oxipro.fr","null","http://www.oxipro.fr/","null","null"
"1641921980-228","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","KYOSS                          EN SAVOIR PLUS","http://kyoss.fr/","null","null","null","null","tel:0973220375","null","null"
"1641921985-230","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","IUT de Caen                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/iut-de-caen/","IUT de Caen","background-image:url(https://www.normandigital.fr/wp-content/uploads/logo_iutcaen.png);","Fusion des 3 IUT d’Alençon, de Caen et de Cherbourg en Cotentin
Le 1er septembre 2019, les 3 IUT d’Alençon, de Caen et de Cherbourg en Cotentin ont fusionné pour former un grand IUT Normand : IUT Grand Ouest Normandie.
Cette fusion permet de définir un projet commun structurant pour l’enseignement universitaire technologique en Normandie, de créer des synergies entre les équipes pédagogiques sur les 3 pôles :

Pôle d’Alençon (campus de Damigny)
Pôle de Caen (campus de Caen, Ifs, Lisieux, Vire)
Pôle de Cherbourg en Cotentin (campus de Cherbourg-en-Cotentin, Saint-Lô),

et de disposer d’une approche commune entre services.
L’IUT pourra ainsi mieux répondre à quatre enjeux :

le renforcement de l’image de marque “IUT” au sein de l’établissement et sur le territoire normand ; la visibilité des formations doit être accrue pour une meilleure offre aux néo-bacheliers ;
la transformation pédagogique pour s’adapter aux attentes des étudiants et l’amélioration de la réussite des bacheliers technologiques ;
le développement de l’apprentissage et de la formation continue exige également la mise en place rapide de nouvelles pratiques pédagogiques incluant notamment le numérique ;
l’accompagnement du tissu économique dans la recherche de compétences, que ce soit par la formation des salariés du territoire ou par la disponibilité des expertises de recherche.

L’IUT Grand Ouest Normandie souhaite ainsi continuer à proposer une formation professionnelle de qualité pour répondre aux besoins de l’environnement socio-économique régional :

21 Diplômes Universitaires de Technologie · DUT (12 du secteur secondaire / 9 du secteur tertiaire),
25 Licences Professionnelles (des secteurs secondaire et tertiaire) accessibles à tout public – étudiants, apprentis, stagiaires formation continue,
1 Diplôme Universitaire d’Enseignement Technologique International · DUETI


		
	

	
		
			IUT de Caen
Rue Anton Tchekhov
14123 IFS
Tel : 02.31.52.55.19
Site :http://iut-caen.unicaen.fr/presentation/4-sites-geographiques/ 
Eddy GODELLE
Chef de département
Eddy.godelle@unicaen.fr","null","http://iut-caen.unicaen.fr/presentation/4-sites-geographiques/","null","null"
"1641922003-237","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","E2SE                          EN SAVOIR PLUS","https://www.e2se.fr/","Agenda","null","null","null","wp-content/uploads/2015/01/CURSUS_E2SE_2021-2022_v3.pdf","null","null"
"1641921932-211","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","SFR Business                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/sfr-business/","SFR Business","background-image:url(https://www.normandigital.fr/wp-content/uploads/sfr-business-300x200.jpg);","Opérateur de Télécommunications & Intégrateur de solutions
 
SFR Business
509 contre-allée Route de Neufchâtel
76230 Isneauville
Tel : 02.76.51.15.10
 
Site : www.sfrbusiness.fr
 
Julien CHARLET
julien.charlet@sfr.com","","null","Julien CHARLET","Julien CHARLET"
"1641921944-216","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","NUMEHA                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/numeha/","NUMEHA","background-image:url(https://www.normandigital.fr/wp-content/uploads/Numeha.png);","Votre conseil en transformation numérique et expert en solution de veille média.


EXPERT EN CYBERSECURITE
Leurs atouts :

Cybersécurité audit 27001 – audit ebios
Développement spécifque IA – Web – Big data
RGPD Protection des données et reprise d’activité
Agence Webmarketing

Grâce à sa connaissance et à sa maîtrise de tous les systèmes d’information existants, le consultant IT est à même d’adapter ceux-ci aux besoins spécifiques de n’importe quelle structure. Du diagnostic au conseil stratégique, il déploie ses compétences transversalement dans les services demandés.
Membre du réseau #Normandigital antenne du Havre

		
	

	
		
			NUMEHA
40 Rue des Chantiers
76600 LE HAVRE
Tel : 06.42.30.93.78
Site : https://numeha.fr/
 
Jean-Pierre HOELLARD
Email : jphoellard@numeha.fr","null","https://numeha.fr/","null","null"
"1641921990-232","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","ForLabs                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/forlabs/","ForLabs","background-image:url(https://www.normandigital.fr/wp-content/uploads/LogoForlabsBaseLineV1-002.png);","ForLabs est une agence de conseil et réalisation dans le développement Web.
Nous accompagnons nos clients dans leur transformation numérique afin de les aider à développer leur business et à créer de la valeur. Nous concevons des applications web et mobiles qui contribuent à accélérer leur croissance.
Nous intervenons sur vos projets de développement, mais également en renfort d’équipe.
 
Les atouts de notre méthodologie :

Transformer rapidement une opportunité, une idée en une réalité fonctionnelle.
Développer, en collaboration avec nos clients, des applications centrées UX
Une équipe de développement, experte et passionnée
Les meilleures technologies du Web (Symfony, Angular et NODE.JS)
Un déploiement automatisé Devops
Une agilité optimale (Kanban) au service de l’évolution et de l’amélioration continue.

 
ForLabs
12, Rue Ferdinand Buisson
14280 SAINT CONTEST
Tel :09.88.04.95.95
 
Site : www.forlabs.fr
 
Gilles ROBERT
grobert@forlabs.Fr","14280 SAINT CONTEST","null","null","Tel :09.88.04.95.95"
"1641921929-210","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","SHYRKA                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/offroy-frances-axelle/","SHYRKA","background-image:url(https://www.normandigital.fr/wp-content/uploads/shyrka-002.png);","Axelle OFFROY
		
			
		
	

	
		
			La société d’Avocats SHYRKA
Axelle OFFROY fonde le Cabinet OFFROY-FRANCES en 2011.
En 2018, elle créé la Société d’Exercice libéral d’Avocats SHYRKA.
la société d’Avocats SHYRKA intervient dans les principaux domaines du droit des affaires et a développé une expertise particulière en droit des technologies de l’information et de la communication.
Attentif aux évolutions du monde économique, elle s’attache à répondre à l’ensemble des besoins rencontrés par les entreprises de toutes tailles.
SHYRKA a vocation à :

analyser, informer, et conseiller
négocier et protéger
assister et défendre

L’Avocat s’avère être un interlocuteur indispensable aux cotés des chefs d’entreprise. Outre des compétences spécialisées, il exerce son activité dans le respect de règles strictes destinées à protéger le client (secret professionnel, déontologie, maniement des fonds…).
Dans le cadre contentieux, lorsque la situation le permet, l’Avocat favorise négociation dans l’objectif de rechercher une solution amiable reposant sur la satisfaction des intérêts mutuels des parties.
Pour les dossiers faisant appel à des compétences transversales, la Société d’Avocats SHYRKA s’appuie sur son réseau de professionnels du droit, dans les domaines suivants : droit social, droit des sociétés, droit fiscal et droit patrimonial.

SHYRKA & SES ENGAGEMENTS
Désireuse d’entretenir une relation de confiance avec sa clientèle, la société d’Avocats SHYRKA met tout en œuvre pour :

connaître ses clients afin d’appréhender tous les enjeux de leurs projets et leurs besoins
offrir des compétences spécialisées et des solutions adaptées
être réactif dans l’accomplissement de ses diligences
être disponible pour une meilleure efficacité
fixer avec transparence ses honoraires

SHYRKA met un point d’honneur à être à l’écoute de ses clients, pour définir avec eux leurs intérêts, leurs besoins et faire valoir leurs droits en conséquence.
Depuis 2019, elle occupe un poste d’enseignant au sein du Département “Architecture des Systèmes d’Information” (ASI) de l’Institut National des Sciences Appliquées (INSA) de ROUEN.
Elle participe activement à différents groupes de réflexion et est membre des réseaux NWX et NORMANDIGITAL.

		
	

	
		
			SHYRKA Société d’avocats

40, rue Jean Lecanuet

76000 ROUEN

Tel : 02 76 01 50 07

Site : https://www.shyrka-avocats.fr/
Axelle OFFROY
aoffroy@shyrka-avocats.fr","SHYRKA met un point d’honneur à être à l’écoute de ses clients, pour définir avec eux leurs intérêts, leurs besoins et faire valoir leurs droits en conséquence.","https://www.shyrka-avocats.fr/","null","Depuis 2019, elle occupe un poste d’enseignant au sein du Département “Architecture des Systèmes d’Information” (ASI) de l’Institut National des Sciences Appliquées (INSA) de ROUEN."
"1641922037-249","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","2SN                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/2sn/","2SN","background-image:url(https://www.normandigital.fr/wp-content/uploads/2sn-logo.jpg);","2SN est un éditeur de logiciels pour les métiers du transport et de la logistique
Leur produit : WINTRUCK, un logiciel qui gère toute l’activité transport ; du planning à l’analyse des résultats. L’objectif : Optimiser l’activité liée aux marchandises.
 
Le planning des Dockers 
Ce module indépendant est fait pour  planifier les missions, réserver les ressources en tenant compte des obligations légales, générer les messages par Docker et les éléments de paie.
Tester Wintruck, c’est l’adopter
L’actualité de 2SN en 2019/2020 : un projet basé sur la technologie Blockchain.
L’objectif de Smart Flow  : Rechercher et expérimenter une solution sécurisée et légale qui automatise les processus de traitement (cotation, passage de la commande, édition ECMR, accusé de réception et paiement) d’une commande de transport. Il s’agit de faire évoluer une solution logicielle éditée par la société 2SN.
Ce projet est un projet collaboratif mené entre la société 2SN et le LITIS (Laboratoire de Traitement de l’Information et des Systèmes). Il est financé par la région Normandie.
 
2SN

60 Bd Amiral Mouchez

76600 LE HAVRE

Tel : 06-80-67-75-70

Site : 2sn.fr
Pierre Gérard FONTAINE

Pg.fontaine@2sn.fr","2SN

60 Bd Amiral Mouchez

76600 LE HAVRE

Tel : 06-80-67-75-70

Site : 2sn.fr","https://2sn.fr","Pierre Gérard FONTAINE","Pierre Gérard FONTAINE

Pg.fontaine@2sn.fr"
"1641921993-233","https://www.normandigital.fr/membres-normandie-reseau-professionnels-numerique/","FIDAL                          EN SAVOIR PLUS","https://www.normandigital.fr/membres/fidal/","FIDAL","background-image:url(https://www.normandigital.fr/wp-content/uploads/Logo_Fidal_Rouge_et_Noir_RVB_JPEG-1.jpg);","Conseiller les entreprises dans leurs décisions stratégiques et leurs choix opérationnels
FIDAL intervient depuis plus de 90 ans dans tous les domaines du droit des affaires. Nous nous définissons comme des conseils d’entreprises : nos avocats s’engagent auprès de nos clients en leur apportant informations et conseils, et en défendant leurs intérêts dans la durée. Partenaires des entreprises du middle market, des grands groupes, des collectivités publiques et des organismes à but non lucratif, nous intervenons dans tous les secteurs d’activité et privilégions les missions permanentes, forts de notre connaissance du tissu économique français et de notre maîtrise reconnue des problématiques internationales.
Une qualité de service reconnue
Nos clients bénéficient d’une relation de proximité avec nos avocats, présents dans 7 bureaux en Normandie. Cette proximité favorise un contact étroit et permanent, qui permet à nos professionnels :

D’anticiper les attentes et de détecter les besoins émergents
D’avoir une connaissance approfondie des activités, du métier et du contexte économique et social de l’entreprise
De développer et de proposer des solutions innovantes
De faire preuve de disponibilité et d’implication

Notre qualité de service repose également sur :

Une méthodologie de travail éprouvée
Un contrôle de qualité rigoureux
Des solutions juridiques et fiscales claires et concrètes
Une approche qui appréhende les données économiques et financières de nos clients
Un accompagnement permanent dans la durée


		
	

	
		
			FIDAL

91 Avenue Antoine de Saint-Exupéry

76235 Bois-Guillaume

Tel : 02 32 92 76 00

Site : www.fidal.com
Bastien MASSON

Email : bastien.masson@fidal.com","null","http://www.fidal.com","null","null"
